movieId,title,year,genres,(NO GENRES LISTED),ACTION,ADVENTURE,ANIMATION,CHILDREN,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,FILM-NOIR,HORROR,IMAX,MUSICAL,MYSTERY,ROMANCE,SCI-FI,THRILLER,WAR,WESTERN
1,TOY STORY (1995),1995,ADVENTURE|ANIMATION|CHILDREN|COMEDY|FANTASY,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,JUMANJI (1995),1995,ADVENTURE|CHILDREN|FANTASY,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,GRUMPIER OLD MEN (1995),1995,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,WAITING TO EXHALE (1995),1995,COMEDY|DRAMA|ROMANCE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,FATHER OF THE BRIDE PART II (1995),1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HEAT (1995),1995,ACTION|CRIME|THRILLER,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,SABRINA (1995),1995,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,TOM AND HUCK (1995),1995,ADVENTURE|CHILDREN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SUDDEN DEATH (1995),1995,ACTION,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GOLDENEYE (1995),1995,ACTION|ADVENTURE|THRILLER,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"AMERICAN PRESIDENT, THE (1995)",1995,COMEDY|DRAMA|ROMANCE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,DRACULA: DEAD AND LOVING IT (1995),1995,COMEDY|HORROR,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,BALTO (1995),1995,ADVENTURE|ANIMATION|CHILDREN,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,NIXON (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,CUTTHROAT ISLAND (1995),1995,ACTION|ADVENTURE|ROMANCE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,CASINO (1995),1995,CRIME|DRAMA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,SENSE AND SENSIBILITY (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,FOUR ROOMS (1995),1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ACE VENTURA: WHEN NATURE CALLS (1995),1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,MONEY TRAIN (1995),1995,ACTION|COMEDY|CRIME|DRAMA|THRILLER,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,GET SHORTY (1995),1995,COMEDY|CRIME|THRILLER,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,COPYCAT (1995),1995,CRIME|DRAMA|HORROR|MYSTERY|THRILLER,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23,ASSASSINS (1995),1995,ACTION|CRIME|THRILLER,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,POWDER (1995),1995,DRAMA|SCI-FI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,LEAVING LAS VEGAS (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,OTHELLO (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,NOW AND THEN (1995),1995,CHILDREN|DRAMA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,PERSUASION (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,"CITY OF LOST CHILDREN, THE (CITÉ DES ENFANTS PERDUS, LA) (1995)",1995,ADVENTURE|DRAMA|FANTASY|MYSTERY|SCI-FI,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
30,SHANGHAI TRIAD (YAO A YAO YAO DAO WAIPO QIAO) (1995),1995,CRIME|DRAMA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,DANGEROUS MINDS (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,TWELVE MONKEYS (A.K.A. 12 MONKEYS) (1995),1995,MYSTERY|SCI-FI|THRILLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
